huspacy ner == emagyar ner,husoacy ner,emagyar ner,huspacy token,emagyar token
False,|B-ORG|,|O|,|ELNÖK|,|ELNÖK|
False,|B-PER|,|O|,|TÁLLAI|,|TÁLLAI|
False,|I-PER|,|O|,|ANDRÁS|,|ANDRÁS|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-ORG|,|B-LOC|,|Szlovénia|,|Szlovénia|
False,|B-ORG|,|B-LOC|,|Európa|,|Európa|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-PER|,|B-ORG|,|Ház|,|Ház|
False,|B-ORG|,|O|,|DK|,|DK|
False,|B-PER|,|O|,|DÖMÖTÖR|,|DÖMÖTÖR|
False,|I-PER|,|O|,|CSABA|,|CSABA|
False,|B-ORG|,|B-LOC|,|Magyarországgal|,|Magyarországgal|
False,|B-ORG|,|B-LOC|,|Magyarországnak|,|Magyarországnak|
False,|B-MISC|,|O|,|A|,|A|
False,|I-MISC|,|O|,|történet|,|történet|
False,|I-MISC|,|O|,|vége|,|vége|
False,|B-ORG|,|O|,|EU-nál|,|EU-nál|
False,|B-ORG|,|O|,|IMF-nél|,|IMF-nél|
False,|B-PER|,|O|,|Gréczy|,|Gréczy|
False,|B-PER|,|O|,|Harangozó|,|Harangozó|
False,|B-ORG|,|O|,|KDNP|,|KDNP|
False,|B-PER|,|O|,|HOLLIK|,|HOLLIK|
False,|I-PER|,|O|,|ISTVÁN|,|ISTVÁN|
False,|B-ORG|,|O|,|KDNP|,|KDNP|
False,|B-PER|,|B-ORG|,|Ház|,|Ház|
False,|B-MISC|,|O|,|Rezsivédelmi|,|Rezsivédelmi|
False,|B-ORG|,|O|,|Fidesz-KDNP|,|Fidesz-KDNP|
False,|B-ORG|,|B-LOC|,|Magyarország|,|Magyarország|
False,|B-ORG|,|B-LOC|,|Magyarországnak|,|Magyarországnak|
False,|B-ORG|,|O|,|Fidesz-KDNP-kormány|,|Fidesz-KDNP-kormány|
False,|B-PER|,|O|,|TÁLLAI|,|TÁLLAI|
False,|I-PER|,|O|,|ANDRÁS|,|ANDRÁS|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-MISC|,|O|,|A|,|A|
False,|I-MISC|,|O|,|benyújtott|,|benyújtott|
False,|I-MISC|,|O|,|2023.|,|2023.|
False,|I-MISC|,|O|,|évi|,|évi|
False,|I-MISC|,|O|,|költségvetés|,|költségvetés|
False,|I-MISC|,|O|,|prioritásai|,|prioritásai|
False,|B-MISC|,|O|,|Sic|,|Sic|
False,|B-ORG|,|O|,|Rezsivédelmi|,|Rezsivédelmi|
False,|I-ORG|,|O|,|és|,|és|
False,|I-ORG|,|O|,|a|,|a|
False,|I-ORG|,|B-ORG|,|Honvédelmi|,|Honvédelmi|
False,|B-ORG|,|O|,|Rezsivédelmi|,|Rezsivédelmi|
False,|I-ORG|,|O|,|Alapra|,|Alapra|
False,|O|,|B-ORG|,|Ház|,|Ház|
False,|B-PER|,|O|,|Bánki|,|Bánki|
False,|I-PER|,|O|,|Erik|,|Erik|
False,|B-PER|,|O|,|BÁNKI|,|BÁNKI|
False,|I-PER|,|O|,|ERIK|,|ERIK|
False,|B-LOC|,|O|,|Európát|,|Európát|
False,|B-ORG|,|B-LOC|,|Magyarország|,|Magyarország|
False,|B-LOC|,|O|,|Észtországban|,|Észtországban|
False,|B-ORG|,|B-LOC|,|Litvánia|,|Litvánia|
False,|B-ORG|,|B-LOC|,|Csehország|,|Csehország|
False,|B-ORG|,|B-LOC|,|Magyarországnak|,|Magyarországnak|
False,|B-ORG|,|B-LOC|,|Európának|,|Európának|
False,|B-LOC|,|O|,|Európát|,|Európát|
False,|B-ORG|,|B-LOC|,|Magyarországot|,|Magyarországot|
False,|B-LOC|,|O|,|Csehországgal|,|Csehországgal|
False,|B-ORG|,|B-LOC|,|Magyarország|,|Magyarország|
False,|B-ORG|,|B-LOC|,|Magyarország|,|Magyarország|
False,|B-PER|,|O|,|TÁLLAI|,|TÁLLAI|
False,|I-PER|,|O|,|ANDRÁS|,|ANDRÁS|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-ORG|,|B-LOC|,|Magyarország|,|Magyarország|
False,|B-PER|,|O|,|Bánki|,|Bánki|
False,|I-PER|,|O|,|Erik|,|Erik|
False,|B-ORG|,|O|,|Facebook|,|Facebook|
False,|B-ORG|,|O|,|Google|,|Google|
False,|B-ORG|,|B-LOC|,|Magyarország|,|Magyarország|
False,|B-PER|,|O|,|Istenigazából|,|Istenigazából|
False,|B-ORG|,|B-LOC|,|Amerikával|,|Amerikával|
False,|B-ORG|,|B-LOC|,|Kínával|,|Kínával|
False,|B-ORG|,|B-LOC|,|Amerika|,|Amerika|
False,|B-ORG|,|B-LOC|,|Amerika|,|Amerika|
False,|B-ORG|,|B-LOC|,|Amerika|,|Amerika|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-PER|,|O|,|HISZÉKENY|,|HISZÉKENY|
False,|I-PER|,|O|,|DEZSŐ|,|DEZSŐ|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-ORG|,|O|,|LMP|,|LMP|
False,|B-ORG|,|O|,|DK|,|DK|
False,|B-ORG|,|O|,|DK|,|DK|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-ORG|,|O|,|LMP|,|LMP|
False,|B-MISC|,|O|,|Párbeszéd|,|Párbeszéd|
False,|B-MISC|,|B-PER|,|Mi|,|Mi|
False,|I-MISC|,|I-PER|,|Hazánk|,|Hazánk|
False,|B-PER|,|O|,|Momentum|,|Momentum|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-ORG|,|O|,|DK|,|DK|
False,|B-ORG|,|O|,|KDNP|,|KDNP|
False,|B-ORG|,|O|,|LMP|,|LMP|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-ORG|,|O|,|LMP|,|LMP|
False,|B-PER|,|O|,|Z.|,|Z.|
False,|I-PER|,|B-PER|,|Kárpát|,|Kárpát|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-PER|,|O|,|Jobbik|,|Jobbik|
False,|B-ORG|,|O|,|DK.|,|DK.|
False,|B-LOC|,|O|,|Soron|,|Soron|
False,|B-ORG|,|I-ORG|,|Magyar|,|Magyar|
False,|B-MISC|,|O|,|Országgyűlést|,|Országgyűlést|
False,|B-ORG|,|O|,|DK|,|DK|
False,|B-ORG|,|O|,|DK|,|DK|
False,|B-PER|,|B-ORG|,|Gy.|,|Gy.|
False,|I-PER|,|I-ORG|,|Németh|,|Németh|
False,|I-PER|,|I-ORG|,|Erzsébet|,|Erzsébet|
False,|B-ORG|,|O|,|DK|,|DK|
False,|B-PER|,|O|,|Dr.|,|Dr.|
False,|I-PER|,|B-PER|,|Komáromi|,|Komáromi|
False,|B-ORG|,|O|,|DK|,|DK|
False,|B-ORG|,|O|,|DK|,|DK|
False,|B-PER|,|O|,|Dr.|,|Dr.|
False,|I-PER|,|B-PER|,|Oláh|,|Oláh|
False,|B-PER|,|B-ORG|,|Ház|,|Ház|
False,|B-MISC|,|O|,|Országgyűlést|,|Országgyűlést|
False,|B-MISC|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-PER|,|O|,|DR.|,|DR.|
False,|I-PER|,|O|,|SZŰCS|,|SZŰCS|
False,|I-PER|,|O|,|LAJOS|,|LAJOS|
False,|B-ORG|,|O|,|KDNP|,|KDNP|
False,|B-ORG|,|O|,|DK|,|DK|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-ORG|,|O|,|Momentum|,|Momentum|
False,|B-ORG|,|O|,|Párbeszéd|,|Párbeszéd|
False,|B-ORG|,|O|,|LMP|,|LMP|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-MISC|,|O|,|T/152.|,|T/152.|
False,|B-LOC|,|O|,|Soron|,|Soron|
False,|B-LOC|,|B-ORG|,|Ház|,|Ház|
False,|O|,|I-PER|,|Jegyzők|,|Jegyzők|
False,|B-PER|,|O|,|dr.|,|dr.|
False,|I-PER|,|B-PER|,|Szűcs|,|Szűcs|
False,|B-ORG|,|O|,|DK|,|DK|
False,|B-PER|,|B-ORG|,|Ház|,|Ház|
False,|B-PER|,|B-ORG|,|Ház|,|Ház|
False,|B-LOC|,|O|,|Választókerületemben|,|Választókerületemben|
False,|B-LOC|,|O|,|XV.|,|XV.|
False,|I-LOC|,|O|,|kerületben|,|kerületben|
False,|B-LOC|,|O|,|Szentmihályi|,|Szentmihályi|
False,|I-LOC|,|O|,|út|,|út|
False,|B-LOC|,|B-PER|,|Irinyi|,|Irinyi|
False,|I-LOC|,|I-PER|,|János|,|János|
False,|I-LOC|,|O|,|laktanya|,|laktanya|
False,|B-LOC|,|O|,|Belügyminisztériumot|,|Belügyminisztériumot|
False,|B-ORG|,|O|,|LMP|,|LMP|
False,|B-PER|,|O|,|Barkóczi|,|Barkóczi|
False,|B-PER|,|O|,|DR.|,|DR.|
False,|I-PER|,|O|,|KONCZ|,|KONCZ|
False,|B-ORG|,|O|,|ZSÓFIA|,|ZSÓFIA|
False,|O|,|B-ORG|,|Elnök|,|Elnök|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-MISC|,|O|,|Tisztítsuk|,|Tisztítsuk|
False,|I-MISC|,|O|,|meg|,|meg|
False,|I-MISC|,|O|,|az|,|az|
False,|I-MISC|,|O|,|országot|,|országot|
False,|I-MISC|,|O|,|!|,|!|
False,|B-LOC|,|O|,|Szilas-patak|,|Szilas-patak|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-ORG|,|O|,|Demokratikus|,|Demokratikus|
False,|I-ORG|,|O|,|Koalíció|,|Koalíció|
False,|B-PER|,|O|,|Barkóczi|,|Barkóczi|
False,|B-ORG|,|O|,|BARKÓCZI|,|BARKÓCZI|
False,|I-ORG|,|O|,|BALÁZS|,|BALÁZS|
False,|B-ORG|,|O|,|DK|,|DK|
False,|O|,|B-PER|,|Államtitkár|,|Államtitkár|
False,|O|,|I-PER|,|Asszony|,|Asszony|
False,|B-PER|,|B-ORG|,|Tarnai|,|Tarnai|
False,|I-PER|,|I-ORG|,|Richárd|,|Richárd|
False,|B-ORG|,|O|,|DK|,|DK|
False,|O|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-PER|,|O|,|DR.|,|DR.|
False,|I-PER|,|O|,|LUKÁCS|,|LUKÁCS|
False,|I-PER|,|O|,|LÁSZLÓ|,|LÁSZLÓ|
False,|I-PER|,|O|,|GYÖRGY|,|GYÖRGY|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|O|,|B-ORG|,|Elnök|,|Elnök|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|B-ORG|,|Államtitkár|,|Államtitkár|
False,|I-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-PER|,|O|,|Taps|,|Taps|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-PER|,|O|,|Lukács|,|Lukács|
False,|B-PER|,|O|,|Rétvári|,|Rétvári|
False,|I-PER|,|O|,|Bence|,|Bence|
False,|B-PER|,|O|,|RÉTVÁRI|,|RÉTVÁRI|
False,|I-PER|,|O|,|BENCE|,|BENCE|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|O|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|B-ORG|,|Ház|,|Ház|
False,|B-ORG|,|O|,|Jobbiktól|,|Jobbiktól|
False,|B-ORG|,|O|,|Jobbikban|,|Jobbikban|
False,|B-LOC|,|O|,|Európát|,|Európát|
False,|B-PER|,|O|,|Lukács|,|Lukács|
False,|B-ORG|,|O|,|DR.|,|DR.|
False,|I-ORG|,|O|,|LUKÁCS|,|LUKÁCS|
False,|I-ORG|,|O|,|LÁSZLÓ|,|LÁSZLÓ|
False,|I-ORG|,|O|,|GYÖRGY|,|GYÖRGY|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-PER|,|O|,|Rétvári|,|Rétvári|
False,|I-PER|,|O|,|Bence|,|Bence|
False,|B-MISC|,|O|,|Nemzetközi|,|Nemzetközi|
False,|I-MISC|,|O|,|szaklapban|,|szaklapban|
False,|B-PER|,|O|,|Rétvári|,|Rétvári|
False,|B-PER|,|O|,|Rétvári|,|Rétvári|
False,|I-PER|,|O|,|Bence|,|Bence|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-PER|,|O|,|Rétvári|,|Rétvári|
False,|I-PER|,|O|,|Bence|,|Bence|
False,|B-PER|,|O|,|Taps|,|Taps|
False,|B-ORG|,|O|,|Jobbik|,|Jobbik|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-PER|,|O|,|Gelencsér|,|Gelencsér|
False,|B-MISC|,|O|,|GELENCSÉR|,|GELENCSÉR|
False,|I-MISC|,|O|,|FERENC|,|FERENC|
False,|B-MISC|,|O|,|Momentum|,|Momentum|
False,|B-PER|,|B-ORG|,|Ház|,|Ház|
False,|B-PER|,|O|,|dr.|,|dr.|
False,|I-PER|,|B-PER|,|Nagy|,|Nagy|
False,|I-LOC|,|O|,|I.|,|I.|
False,|B-MISC|,|B-ORG|,|Red|,|Red|
False,|I-MISC|,|I-ORG|,|Bull|,|Bull|
False,|I-MISC|,|I-ORG|,|Air|,|Air|
False,|I-MISC|,|I-ORG|,|Race|,|Race|
False,|B-LOC|,|O|,|Várban|,|Várban|
False,|B-PER|,|O|,|dr.|,|dr.|
False,|I-PER|,|B-PER|,|Nagy|,|Nagy|
False,|I-PER|,|O|,|Tamást|,|Tamást|
False,|B-PER|,|O|,|Miniszter|,|Miniszter|
False,|B-PER|,|O|,|dr.|,|dr.|
False,|I-PER|,|B-PER|,|Nagy|,|Nagy|
False,|I-PER|,|O|,|Tamástól|,|Tamástól|
False,|B-PER|,|O|,|dr.|,|dr.|
False,|I-PER|,|B-PER|,|Nagy|,|Nagy|
False,|B-PER|,|O|,|Taps|,|Taps|
False,|B-PER|,|O|,|Gelencsér|,|Gelencsér|
False,|B-PER|,|O|,|FÓNAGY|,|FÓNAGY|
False,|I-PER|,|O|,|JÁNOS|,|JÁNOS|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-PER|,|O|,|Fónagy|,|Fónagy|
False,|B-PER|,|O|,|Gelencsér|,|Gelencsér|
False,|B-PER|,|O|,|GELENCSÉR|,|GELENCSÉR|
False,|I-PER|,|O|,|FERENC|,|FERENC|
False,|B-MISC|,|O|,|Momentum|,|Momentum|
False,|B-ORG|,|O|,|Momentum|,|Momentum|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|B-PER|,|O|,|SZABÓ|,|SZABÓ|
False,|I-PER|,|O|,|SÁNDOR|,|SÁNDOR|
False,|B-PER|,|B-ORG|,|Államtitkár|,|Államtitkár|
False,|I-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|O|,|Gyakorlatilag|,|Gyakorlatilag|
False,|B-PER|,|O|,|Taps|,|Taps|
False,|B-PER|,|O|,|Szabó|,|Szabó|
False,|B-ORG|,|O|,|TÁLLAI|,|TÁLLAI|
False,|I-ORG|,|O|,|ANDRÁS|,|ANDRÁS|
False,|O|,|B-PER|,|Elnök|,|Elnök|
False,|B-PER|,|I-PER|,|Úr|,|Úr|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|B-PER|,|I-ORG|,|Úr|,|Úr|
False,|B-ORG|,|O|,|NAV|,|NAV|
False,|B-ORG|,|O|,|Szeged|,|Szeged|
False,|B-LOC|,|O|,|Szeged|,|Szeged|
False,|B-ORG|,|O|,|Szeged|,|Szeged|
False,|B-LOC|,|O|,|Szegednek|,|Szegednek|
False,|B-LOC|,|B-PER|,|Szeged|,|Szeged|
False,|B-LOC|,|B-ORG|,|Pick|,|Pick|
False,|I-LOC|,|I-ORG|,|Aréna|,|Aréna|
False,|B-LOC|,|B-ORG|,|Szeged|,|Szeged|
False,|O|,|B-ORG|,|Képviselő|,|Képviselő|
False,|O|,|I-ORG|,|Úr|,|Úr|
False,|B-PER|,|O|,|SZABÓ|,|SZABÓ|
False,|I-PER|,|O|,|SÁNDOR|,|SÁNDOR|
False,|B-PER|,|O|,|Taps|,|Taps|
False,|B-PER|,|O|,|Szabó|,|Szabó|
False,|B-PER|,|B-ORG|,|Országgyűlés|,|Országgyűlés|
False,|O|,|B-PER|,|Mi|,|Mi|
