mind a 4 egyenlő-e,huspacy sima pos,huspacy tag (detailed pos),huspacy em ud tag,emagyar pos,huspacy token,emagyar token
False,|PROPN|,|PROPN|,|[]|,|NOUN|,ELNÖK,ELNÖK
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Rétvári|,|Rétvári|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Európa-pártiak|,|Európa-pártiak|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Európa-ellenesek|,|Európa-ellenesek|
False,|ADV|,|ADV|,|[]|,|PRON|,|azért|,|azért|
False,|ADJ|,|NOUN|,|[]|,|NOUN|,|adóterhe|,|adóterhe|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|AUX|,|AUX|,|[]|,|VERB|,|fognak|,|fognak|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|ADV|,|ADV|,|[]|,|PRON|,|úgy|,|úgy|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|DET|,|DET|,|[]|,|PRON|,|azoktól|,|azoktól|
False,|ADJ|,|ADJ|,|[]|,|NUM|,|legtöbbje|,|legtöbbje|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|PRON|,|PRON|,|[]|,|NOUN|,|egyéb|,|egyéb|
False,|ADV|,|ADV|,|[]|,|PRON|,|akkor|,|akkor|
False,|AUX|,|AUX|,|[]|,|VERB|,|fogják|,|fogják|
False,|ADV|,|ADV|,|[]|,|PRON|,|míg|,|míg|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|kis-|,|kis-|
False,|NOUN|,|PRON|,|[]|,|PRON|,|azoknak|,|azoknak|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|PRON|,|azért|,|azért|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|többinek|,|többinek|
False,|ADV|,|ADV|,|[]|,|PRON|,|Azért|,|Azért|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|DET|,|DET|,|[]|,|PRON|,|minden|,|minden|
False,|ADV|,|ADV|,|[]|,|PRON|,|úgy|,|úgy|
False,|SCONJ|,|SCONJ|,|[]|,|CONJ|,|mintha|,|mintha|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Háznak|,|Háznak|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|ADV|,|ADV|,|[]|,|PRON|,|akkor|,|akkor|
False,|ADV|,|ADV|,|[]|,|PRON|,|ott|,|ott|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Taps|,|Taps|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|ELNÖK|,|ELNÖK|
False,|PROPN|,|PRON|,|[]|,|NOUN|,|DR.|,|DR.|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Miniszterelnöki|,|Miniszterelnöki|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Kabinetiroda|,|Kabinetiroda|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Ház|,|Ház|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|NOUN|,|PRON|,|[]|,|ADV|,|messzebbről|,|messzebbről|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|NOUN|,|DET|,|[]|,|PRON|,|azokra|,|azokra|
False,|NUM|,|NUM|,|[]|,|NUM|,|25-30-35|,|25-30-35|
False,|ADV|,|ADV|,|[]|,|PRON|,|amikor|,|amikor|
False,|NOUN|,|NOUN|,|[]|,|NOUN|,|évtizedekre|,|évtizedekre|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|kereszténydemokrata-Fidesz-kormány|,|kereszténydemokrata|
False,|AUX|,|AUX|,|[]|,|VERB|,|volt|,|volt|
False,|PRON|,|PRON|,|[]|,|ADV|,|mindazokat|,|mindazokat|
False,|ADV|,|ADV|,|[]|,|PRON|,|azért|,|azért|
False,|ADJ|,|ADJ|,|[]|,|ADV|,|stratégiailag|,|stratégiailag|
False,|NOUN|,|ADJ|,|[]|,|ADJ|,|meghatározók|,|meghatározók|
False,|ADV|,|ADV|,|[]|,|ADV|,|másrészt|,|másrészt|
False,|ADV|,|PRON|,|[]|,|PRON|,|azért|,|azért|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|DET|,|DET|,|[]|,|ADJ|,|egyik|,|egyik|
False,|PRON|,|PRON|,|[]|,|ADV|,|mindazokat|,|mindazokat|
False,|AUX|,|AUX|,|[]|,|VERB|,|legyenek|,|legyenek|
False,|PROPN|,|NUM|,|[]|,|NUM|,|13.10|,|13.10|
False,|PROPN|,|PROPN|,|[]|,|VERB|,|Visszavásároltuk|,|Visszavásároltuk|
False,|DET|,|PRON|,|[]|,|PRON|,|azokat|,|azokat|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|DET|,|DET|,|[]|,|PRON|,|ebben|,|ebben|
False,|ADV|,|ADV|,|[]|,|PRON|,|Ezért|,|Ezért|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|ADJ|,|ADJ|,|[]|,|NOUN|,|árstop|,|árstop|
False,|ADV|,|ADV|,|[]|,|CONJ|,|Ezért|,|Ezért|
False,|ADV|,|ADV|,|[]|,|PRON|,|úgy|,|úgy|
False,|AUX|,|AUX|,|[]|,|VERB|,|volt|,|volt|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|PRON|,|számunkra|,|számunkra|
False,|DET|,|PRON|,|[]|,|ADJ|,|egyik|,|egyik|
False,|ADV|,|ADV|,|[]|,|ADV|,|ki|,|ki|
False,|PRON|,|PRON|,|[]|,|ADJ|,|másik|,|másik|
False,|DET|,|DET|,|[]|,|PRON|,|minden|,|minden|
False,|ADV|,|ADV|,|[]|,|PRON|,|Ezért|,|Ezért|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Kunhalmi|,|Kunhalmi|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Kunhalmi|,|Kunhalmi|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Kunhalmi|,|Kunhalmi|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Végiggondoltáke|,|Végiggondoltáke|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|ADV|,|ADV|,|[]|,|PRON|,|hogyan|,|hogyan|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|duplájára|,|duplájára|
False,|VERB|,|VERB|,|[]|,|NOUN|,|végezteke|,|végezteke|
False,|PROPN|,|ADV|,|[]|,|PROPN|,|Végiggondoltáke|,|Végiggondoltáke|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|DET|,|PRON|,|[]|,|PRON|,|ezt|,|ezt|
False,|PRON|,|PRON|,|[]|,|NOUN|,|más|,|más|
False,|ADJ|,|ADJ|,|[]|,|ADV|,|gazdaságilag|,|gazdaságilag|
False,|VERB|,|VERB|,|[]|,|PROPN|,|Végiggondoltáke|,|Végiggondoltáke|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Úr|,|Úr|
False,|NOUN|,|PRON|,|[]|,|PRON|,|amibe|,|amibe|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Ungár|,|Ungár|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Taps|,|Taps|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|ELNÖK|,|ELNÖK|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Párbeszéd|,|Párbeszéd|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Finike|,|Finike|
False,|AUX|,|ADJ|,|[]|,|VERB|,|volt|,|volt|
False,|ADV|,|ADV|,|[]|,|PRON|,|úgy|,|úgy|
False,|DET|,|DET|,|[]|,|PRON|,|ez|,|ez|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|nemcsak|,|nemcsak|
False,|PRON|,|PRON|,|[]|,|ADP|,|köztük|,|köztük|
False,|PRON|,|PRON|,|[]|,|ADP|,|köztük|,|köztük|
False,|ADV|,|ADV|,|[]|,|PRON|,|így|,|így|
False,|AUX|,|AUX|,|[]|,|VERB|,|lesz|,|lesz|
False,|ADV|,|ADV|,|[]|,|PRON|,|így|,|így|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|ELNÖK|,|ELNÖK|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|sajátját|,|sajátját|
False,|ADV|,|ADV|,|[]|,|ADV|,|föl|,|föl|
False,|ADJ|,|ADJ|,|[]|,|PRON|,|valami|,|valami|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Párbeszéd|,|Párbeszéd|
False,|ADV|,|ADV|,|[]|,|PRON|,|Akkor|,|Akkor|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|ELNÖK|,|ELNÖK|
False,|AUX|,|AUX|,|[]|,|VERB|,|Legyenek|,|Legyenek|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Párbeszéd|,|Párbeszéd|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|ADV|,|VERB|,|[]|,|VERB|,|köszöntöm|,|köszöntöm|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Finike|,|Finike|
False,|AUX|,|ADJ|,|[]|,|VERB|,|volt|,|volt|
False,|ADV|,|ADV|,|[]|,|PRON|,|úgy|,|úgy|
False,|ADV|,|ADV|,|[]|,|ADV|,|ki|,|ki|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|VERB|,|VERB|,|[]|,|ADV|,|jelesül|,|jelesül|
False,|ADV|,|ADV|,|[]|,|PRON|,|Úgy|,|Úgy|
False,|ADJ|,|PRON|,|[]|,|NUM|,|mindannyian|,|mindannyian|
False,|DET|,|DET|,|[]|,|PRON|,|azt|,|azt|
False,|ADV|,|ADV|,|[]|,|PRON|,|Ezért|,|Ezért|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Európai|,|Európai|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Parlament|,|Parlament|
False,|PRON|,|PRON|,|[]|,|NOUN|,|egyebek|,|egyebek|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|duplája|,|duplája|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Párbeszéd|,|Párbeszéd|
False,|NOUN|,|NOUN|,|[]|,|NOUN|,|zöldpártként|,|zöldpártként|
False,|ADV|,|ADV|,|[]|,|ADV|,|mindig|,|mindig|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADJ|,|PRON|,|[]|,|PRON|,|ilyen|,|ilyen|
False,|ADV|,|ADV|,|[]|,|PRON|,|miközben|,|miközben|
False,|NOUN|,|PRON|,|[]|,|PRON|,|nekünk|,|nekünk|
False,|DET|,|DET|,|[]|,|ADV|,|többet|,|többet|
False,|PRON|,|PRON|,|[]|,|NUM|,|ugyanennyire|,|ugyanennyire|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|DET|,|PRON|,|[]|,|PRON|,|ezekben|,|ezekben|
False,|ADV|,|ADV|,|[]|,|PRON|,|amikor|,|amikor|
False,|DET|,|DET|,|[]|,|PRON|,|minden|,|minden|
False,|PRON|,|PRON|,|[]|,|NOUN|,|más|,|más|
False,|ADV|,|ADV|,|[]|,|PRON|,|Ezért|,|Ezért|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Párbeszéd|,|Párbeszéd|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|DET|,|DET|,|[]|,|PRON|,|azokban|,|azokban|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahol|,|ahol|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahol|,|ahol|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahol|,|ahol|
False,|NOUN|,|NOUN|,|[]|,|NUM|,|négy-|,|négy-|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|PRON|,|itt|,|itt|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Papamonatot|,|Papamonatot|
False,|ADV|,|ADV|,|[]|,|PRON|,|amikor|,|amikor|
False,|INTJ|,|NOUN|,|[]|,|ADV|,|sic|,|sic|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PROPN|,|PROPN|,|[]|,|PRON|,|Önök|,|Önök|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahol|,|ahol|
False,|AUX|,|AUX|,|[]|,|VERB|,|volna|,|volna|
False,|ADV|,|ADV|,|[]|,|PRON|,|ott|,|ott|
False,|ADV|,|ADV|,|[]|,|ADV|,|vajon|,|vajon|
False,|ADV|,|ADV|,|[]|,|PRON|,|miért|,|miért|
False,|ADV|,|ADV|,|[]|,|PRON|,|mennyire|,|mennyire|
False,|ADV|,|ADV|,|[]|,|PRON|,|amikor|,|amikor|
False,|DET|,|DET|,|[]|,|PRON|,|minden|,|minden|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|NOUN|,|NOUN|,|[]|,|PROPN|,|EP-képviselőik|,|EP-képviselőik|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADJ|,|ADJ|,|[]|,|PRON|,|olyan|,|olyan|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahol|,|ahol|
False,|ADV|,|ADV|,|[]|,|ADV|,|fel|,|fel|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahol|,|ahol|
False,|ADP|,|ADJ|,|[]|,|ADJ|,|függően|,|függően|
False,|ADV|,|ADV|,|[]|,|CONJ|,|Szóval|,|Szóval|
False,|DET|,|DET|,|[]|,|PRON|,|ebben|,|ebben|
False,|ADJ|,|ADJ|,|[]|,|PRON|,|olyan|,|olyan|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|ADJ|,|ADJ|,|[]|,|ADJ|,|genderideológiás|,|genderideológiás|
False,|ADV|,|ADV|,|[]|,|ADV|,|annál|,|annál|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|AUX|,|AUX|,|[]|,|VERB|,|vagyok|,|vagyok|
False,|ADV|,|ADV|,|[]|,|PRON|,|amikor|,|amikor|
False,|ADV|,|ADV|,|[]|,|PRON|,|akkor|,|akkor|
False,|NOUN|,|NOUN|,|[]|,|NUM|,|eleget|,|eleget|
False,|NOUN|,|NOUN|,|[]|,|NUM|,|eleget|,|eleget|
False,|AUX|,|AUX|,|[]|,|VERB|,|fog|,|fog|
False,|VERB|,|VERB|,|[]|,|VERB|,|remélhetjüke|,|remélhetjüke|
False,|AUX|,|AUX|,|[]|,|VERB|,|fogják|,|fogják|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|ELNÖK|,|ELNÖK|
False,|PROPN|,|PROPN|,|[]|,|NUM|,|13.20|,|13.20|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Kulturális|,|Kulturális|
False,|PROPN|,|PROPN|,|[]|,|CONJ|,|és|,|és|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Innovációs|,|Innovációs|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Minisztérium|,|Minisztérium|
False,|NOUN|,|PRON|,|[]|,|ADP|,|közöttünk|,|közöttünk|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Európai|,|Európai|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Unióban|,|Unióban|
False,|PRON|,|PRON|,|[]|,|ADJ|,|egyik|,|egyik|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahogyan|,|ahogyan|
False,|ADV|,|ADV|,|[]|,|PRON|,|eddig|,|eddig|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|ADV|,|mindig|,|mindig|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|NOUN|,|NOUN|,|[]|,|NUM|,|eleget|,|eleget|
False,|AUX|,|AUX|,|[]|,|VERB|,|fog|,|fog|
False,|ADV|,|ADV|,|[]|,|PRON|,|ezért|,|ezért|
False,|DET|,|DET|,|[]|,|NUM|,|több|,|több|
False,|PRON|,|PRON|,|[]|,|NUM|,|néhány|,|néhány|
False,|DET|,|DET|,|[]|,|NUM|,|számos|,|számos|
False,|ADV|,|ADV|,|[]|,|PRON|,|Eddig|,|Eddig|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Unióban|,|Unióban|
False,|NOUN|,|NOUN|,|[]|,|PROPN|,|GDP|,|GDP|
False,|ADV|,|ADV|,|[]|,|ADV|,|fel|,|fel|
False,|DET|,|DET|,|[]|,|ADV|,|mindazokat|,|mindazokat|
False,|ADJ|,|ADJ|,|[]|,|ADV|,|Elég|,|Elég|
False,|ADV|,|ADV|,|[]|,|PRON|,|ahogyan|,|ahogyan|
False,|ADV|,|ADV|,|[]|,|PRON|,|eddig|,|eddig|
False,|ADV|,|ADV|,|[]|,|ADV|,|ezután|,|ezután|
False,|ADV|,|ADV|,|[]|,|ADV|,|be|,|be|
False,|AUX|,|AUX|,|[]|,|VERB|,|legyen|,|legyen|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|PRON|,|ezáltal|,|ezáltal|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|DET|,|PRON|,|[]|,|PRON|,|ezekkel|,|ezekkel|
False,|DET|,|DET|,|[]|,|PRON|,|ebből|,|ebből|
False,|NOUN|,|PRON|,|[]|,|PRON|,|önök|,|önök|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|ADV|,|mindig|,|mindig|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|ADV|,|ADV|,|[]|,|PRON|,|így|,|így|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Taps|,|Taps|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|ELNÖK|,|ELNÖK|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|Szintén|,|Szintén|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Dócs|,|Dócs|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Hazánk|,|Hazánk|
False,|NOUN|,|NOUN|,|[]|,|PROPN|,|DÓCS|,|DÓCS|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Ház|,|Ház|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|ADV|,|ADV|,|[]|,|PRON|,|Ahogy|,|Ahogy|
False,|ADV|,|ADV|,|[]|,|NOUN|,|mára|,|mára|
False,|INTJ|,|INTJ|,|[]|,|ADV|,|Sajnos|,|Sajnos|
False,|ADJ|,|ADJ|,|[]|,|NUM|,|kevesen|,|kevesen|
False,|VERB|,|VERB|,|[]|,|ADJ|,|alulfizetettek|,|alulfizetettek|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Kormánypárti|,|Kormánypárti|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Belügyminiszter|,|Belügyminiszter|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Betadine-t|,|Betadine-t|
False,|DET|,|PRON|,|[]|,|PRON|,|ezt|,|ezt|
False,|DET|,|DET|,|[]|,|NUM|,|több|,|több|
False,|ADV|,|ADV|,|[]|,|PRON|,|miközben|,|miközben|
False,|ADV|,|ADV|,|[]|,|NUM|,|tízszer|,|tízszer|
False,|PRON|,|PRON|,|[]|,|NUM|,|ennyien|,|ennyien|
