huspacy ner == emagyar ner,husoacy ner,emagyar ner,huspacy token,emagyar token
True,|O|,|O|,|magyar|,|magyar|
True,|O|,|O|,|feldolgozóipar|,|feldolgozóipar|
True,|O|,|O|,|megszűnt|,|megszűnt|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|és|,|és|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|agyelszívás|,|agyelszívás|
True,|O|,|O|,|miatt|,|miatt|
True,|O|,|O|,|tulajdonképpen|,|tulajdonképpen|
True,|O|,|O|,|olyan|,|olyan|
True,|O|,|O|,|embereket|,|embereket|
True,|O|,|O|,|képzünk|,|képzünk|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|akik|,|akik|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|nyugati|,|nyugati|
True,|O|,|O|,|bérelőny|,|bérelőny|
True,|O|,|O|,|miatt|,|miatt|
True,|O|,|O|,|nem|,|nem|
True,|O|,|O|,|tudják|,|tudják|
True,|O|,|O|,|megtalálni|,|megtalálni|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|számításukat|,|számításukat|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|közgazdász|,|közgazdász|
True,|O|,|O|,|azt|,|azt|
True,|O|,|O|,|mondta|,|mondta|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|azt|,|azt|
True,|O|,|O|,|számolta|,|számolta|
True,|O|,|O|,|ki|,|ki|
True,|O|,|O|,|nemrég|,|nemrég|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|amennyi|,|amennyi|
True,|O|,|O|,|pénzt|,|pénzt|
True,|O|,|O|,|kap|,|kap|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|támogatásként|,|támogatásként|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|annyi|,|annyi|
True,|O|,|O|,|pénzt|,|pénzt|
True,|O|,|O|,|ki|,|ki|
True,|O|,|O|,|is|,|is|
True,|O|,|O|,|visznek|,|visznek|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|nyugati|,|nyugati|
True,|O|,|O|,|cégek|,|cégek|
True,|O|,|O|,|profitként|,|profitként|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Tulajdonképpen|,|Tulajdonképpen|
True,|O|,|O|,|ez|,|ez|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|egyenleg|,|egyenleg|
True,|O|,|O|,|nullszaldós|,|nullszaldós|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|A|,|A|
True,|O|,|O|,|helyzet|,|helyzet|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|rá|,|rá|
True,|O|,|O|,|volt|,|volt|
True,|O|,|O|,|kényszerítve|,|kényszerítve|
True,|O|,|O|,|’|,|’|
True,|O|,|O|,|90|,|90|
True,|O|,|O|,|óta|,|óta|
True,|O|,|O|,|arra|,|arra|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|kiárusítsa|,|kiárusítsa|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|állami|,|állami|
True,|O|,|O|,|vagyont|,|vagyont|
True,|O|,|O|,|nyugat-európaiaknak|,|nyugat-európaiaknak|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|beengedje|,|beengedje|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|nyugati|,|nyugati|
True,|O|,|O|,|cégeket|,|cégeket|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|és|,|és|
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|megnyissa|,|megnyissa|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|határait|,|határait|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|külföldi|,|külföldi|
True,|O|,|O|,|áruk|,|áruk|
True,|O|,|O|,|és|,|és|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|külföldi|,|külföldi|
True,|O|,|O|,|tőke|,|tőke|
True,|O|,|O|,|előtt|,|előtt|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|A|,|A|
True,|O|,|O|,|probléma|,|probléma|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|ennek|,|ennek|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|folyamatnak|,|folyamatnak|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|korlátozása|,|korlátozása|
True,|O|,|O|,|nem|,|nem|
True,|O|,|O|,|volt|,|volt|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|elmúlt|,|elmúlt|
True,|O|,|O|,|időszak|,|időszak|
True,|O|,|O|,|politikájának|,|politikájának|
True,|O|,|O|,|homlokterében|,|homlokterében|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Mi|,|Mi|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|zöldek|,|zöldek|
True,|O|,|O|,|azt|,|azt|
True,|O|,|O|,|gondoljuk|,|gondoljuk|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|négy|,|négy|
True,|O|,|O|,|szabadság|,|szabadság|
True,|O|,|O|,|elve|,|elve|
True,|O|,|O|,|helyett|,|helyett|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|amely|,|amely|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|alapja|,|alapja|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|három|,|három|
True,|O|,|O|,|felelősség|,|felelősség|
True,|O|,|O|,|elvét|,|elvét|
True,|O|,|O|,|kéne|,|kéne|
True,|O|,|O|,|használni|,|használni|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|három|,|három|
True,|O|,|O|,|felelősség|,|felelősség|
True,|O|,|O|,|elve|,|elve|
True,|O|,|O|,|alapján|,|alapján|
True,|O|,|O|,|lehetne|,|lehetne|
True,|O|,|O|,|egy|,|egy|
True,|O|,|O|,|olyan|,|olyan|
True,|O|,|O|,|felépíteni|,|felépíteni|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|amely|,|amely|
True,|O|,|O|,|nem|,|nem|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|neoliberalizmus|,|neoliberalizmus|
True,|O|,|O|,|alapján|,|alapján|
True,|O|,|O|,|áll|,|áll|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Ez|,|Ez|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|három|,|három|
True,|O|,|O|,|felelősség|,|felelősség|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|fogyasztókért|,|fogyasztókért|
True,|O|,|O|,|való|,|való|
True,|O|,|O|,|felelősség|,|felelősség|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|természetért|,|természetért|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|való|,|való|
True,|O|,|O|,|felelősség|,|felelősség|
True,|O|,|O|,|és|,|és|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|társadalomért|,|társadalomért|
True,|O|,|O|,|való|,|való|
True,|O|,|O|,|felelősség|,|felelősség|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Mi|,|Mi|
True,|O|,|O|,|ennek|,|ennek|
True,|O|,|O|,|most|,|most|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|aktualitása|,|aktualitása|
True,|O|,|O|,|?|,|?|
True,|O|,|O|,|Azt|,|Azt|
True,|O|,|O|,|látjuk|,|látjuk|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|külügyminiszter|,|külügyminiszter|
True,|O|,|O|,|ezt|,|ezt|
True,|O|,|O|,|be|,|be|
True,|O|,|O|,|is|,|is|
True,|O|,|O|,|jelentette|,|jelentette|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|most|,|most|
True,|O|,|O|,|éppen|,|éppen|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|és|,|és|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|legtöbb|,|legtöbb|
True,|O|,|O|,|tagállamával|,|tagállamával|
True,|O|,|O|,|is|,|is|
True,|O|,|O|,|konfliktusba|,|konfliktusba|
True,|O|,|O|,|kerül|,|kerül|
True,|O|,|O|,|azért|,|azért|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|elérje|,|elérje|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|és|,|és|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|többi|,|többi|
True,|O|,|O|,|multinak|,|multinak|
True,|O|,|O|,|ne|,|ne|
True,|O|,|O|,|tudják|,|tudják|
True,|O|,|O|,|növelni|,|növelni|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|adóterhét|,|adóterhét|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Amit|,|Amit|
True,|O|,|O|,|önök|,|önök|
True,|O|,|O|,|egy|,|egy|
True,|O|,|O|,|szuverenitási|,|szuverenitási|
True,|O|,|O|,|kérdésként|,|kérdésként|
True,|O|,|O|,|fognak|,|fognak|
True,|O|,|O|,|beállítani|,|beállítani|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|úgynevezett|,|úgynevezett|
True,|O|,|O|,|globális|,|globális|
True,|O|,|O|,|multiadó|,|multiadó|
True,|O|,|O|,|kérdése|,|kérdése|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|valójában|,|valójában|
True,|O|,|O|,|nem|,|nem|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|magyar|,|magyar|
True,|O|,|O|,|szuverenitásról|,|szuverenitásról|
True,|O|,|O|,|szól|,|szól|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hanem|,|hanem|
True,|O|,|O|,|arról|,|arról|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|azoknak|,|azoknak|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|cégeknek|,|cégeknek|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|akiket|,|akiket|
True,|O|,|O|,|önök|,|önök|
True,|O|,|O|,|idehoztak|,|idehoztak|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|akiket|,|akiket|
True,|O|,|O|,|kivettek|,|kivettek|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|közteherviselés|,|közteherviselés|
True,|O|,|O|,|terhe|,|terhe|
True,|O|,|O|,|alól|,|alól|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|stratégiai|,|stratégiai|
True,|O|,|O|,|partnerségek|,|partnerségek|
True,|O|,|O|,|keretében|,|keretében|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|ne|,|ne|
True,|O|,|O|,|kelljen|,|kelljen|
True,|O|,|O|,|megemelniük|,|megemelniük|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|társasági|,|társasági|
True,|O|,|O|,|adójukat|,|adójukat|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Az|,|Az|
True,|O|,|O|,|egész|,|egész|
True,|O|,|O|,|gazdaságpolitika|,|gazdaságpolitika|
True,|O|,|O|,|arra|,|arra|
True,|O|,|O|,|épül|,|épül|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|német|,|német|
True,|O|,|O|,|tőkét|,|tőkét|
True,|O|,|O|,|kiszolgálják|,|kiszolgálják|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|miniszterelnök|,|miniszterelnök|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|német|,|német|
True,|O|,|O|,|tőke|,|tőke|
True,|O|,|O|,|érdekei|,|érdekei|
True,|O|,|O|,|szerint|,|szerint|
True,|O|,|O|,|szavaz|,|szavaz|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|ülésén|,|ülésén|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|német|,|német|
True,|O|,|O|,|kancellárral|,|kancellárral|
True,|O|,|O|,|97|,|97|
True,|O|,|O|,|százalékban|,|százalékban|
True,|O|,|O|,|megegyező|,|megegyező|
True,|O|,|O|,|módon|,|módon|
True,|O|,|O|,|(|,|(|
True,|O|,|O|,|:|,|:|
True,|O|,|O|,|Európa-pártiak|,|Európa-pártiak|
True,|O|,|O|,|vagyunk|,|vagyunk|
True,|O|,|O|,|vagy|,|vagy|
True,|O|,|O|,|Európa-ellenesek|,|Európa-ellenesek|
True,|O|,|O|,|?|,|?|
True,|O|,|O|,|)|,|)|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|és|,|és|
True,|O|,|O|,|mindent|,|mindent|
True,|O|,|O|,|elérnek|,|elérnek|
True,|O|,|O|,|azért|,|azért|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|német|,|német|
True,|O|,|O|,|tőkének|,|tőkének|
True,|O|,|O|,|ne|,|ne|
True,|O|,|O|,|nőjön|,|nőjön|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|adóterhe|,|adóterhe|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|A|,|A|
True,|O|,|O|,|globális|,|globális|
True,|O|,|O|,|minimumadóval|,|minimumadóval|
True,|O|,|O|,|egyetértenek|,|egyetértenek|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|magyar|,|magyar|
True,|O|,|O|,|emberek|,|emberek|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|azzal|,|azzal|
True,|O|,|O|,|azonban|,|azonban|
True,|O|,|O|,|nem|,|nem|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|önök|,|önök|
True,|O|,|O|,|elutasítják|,|elutasítják|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|azzal|,|azzal|
True,|O|,|O|,|nem|,|nem|
True,|O|,|O|,|értenek|,|értenek|
True,|O|,|O|,|egyet|,|egyet|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|önöknek|,|önöknek|
True,|O|,|O|,|fontosabb|,|fontosabb|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,|9|,|9|
True,|O|,|O|,|százalékos|,|százalékos|
True,|O|,|O|,|társasági|,|társasági|
True,|O|,|O|,|adót|,|adót|
True,|O|,|O|,|fizessen|,|fizessen|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|mint|,|mint|
True,|O|,|O|,|az|,|az|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|mondjuk|,|mondjuk|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|megemeljék|,|megemeljék|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|közalkalmazottak|,|közalkalmazottak|
True,|O|,|O|,|bérét|,|bérét|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|Az|,|Az|
True,|O|,|O|,|egész|,|egész|
True,|O|,|O|,|vita|,|vita|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|amit|,|amit|
True,|O|,|O|,|önök|,|önök|
True,|O|,|O|,|ismételten|,|ismételten|
True,|O|,|O|,|hazug|,|hazug|
True,|O|,|O|,|módon|,|módon|
True,|O|,|O|,|szuverenitási|,|szuverenitási|
True,|O|,|O|,|vitának|,|vitának|
True,|O|,|O|,|fognak|,|fognak|
True,|O|,|O|,|beállítani|,|beállítani|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|arról|,|arról|
True,|O|,|O|,|szól|,|szól|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|önök|,|önök|
True,|O|,|O|,|szerint|,|szerint|
True,|O|,|O|,|úgy|,|úgy|
True,|O|,|O|,|kell|,|kell|
True,|O|,|O|,|részt|,|részt|
True,|O|,|O|,|vennie|,|vennie|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|nemzetközi|,|nemzetközi|
True,|O|,|O|,|versenyben|,|versenyben|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|hogy|,|hogy|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|lehető|,|lehető|
True,|O|,|O|,|legkevesebb|,|legkevesebb|
True,|O|,|O|,|pénzt|,|pénzt|
True,|O|,|O|,|szedje|,|szedje|
True,|O|,|O|,|be|,|be|
True,|O|,|O|,|azoktól|,|azoktól|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|cégektől|,|cégektől|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|akiknek|,|akiknek|
True,|O|,|O|,|a|,|a|
True,|O|,|O|,|legtöbbje|,|legtöbbje|
True,|O|,|O|,|van|,|van|
True,|O|,|O|,|.|,|.|
True,|O|,|O|,|A|,|A|
True,|O|,|O|,|multiadók|,|multiadók|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|amelyeket|,|amelyeket|
True,|O|,|O|,|néha-néha|,|néha-néha|
True,|O|,|O|,|kivetnek|,|kivetnek|
True,|O|,|O|,"|,|","|,|"
True,|O|,|O|,|ha|,|ha|
